elapsed_s,joint1_pos_rad,joint2_pos_rad,joint3_pos_rad,joint4_pos_rad,joint5_pos_rad,joint6_pos_rad,joint7_pos_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint7_vel_rad_s,joint1_effort,joint2_effort,joint3_effort,joint4_effort,joint5_effort,joint6_effort,joint7_effort
0.000000726,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.759674072,-0.148272589,-1.019243598,-0.000080639
0.005071703,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.759674072,-0.148272589,-1.019243598,-0.000080639
0.010132844,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.759674072,-0.148272589,-1.019243598,-0.000080639
0.015202902,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.759674072,-0.148272589,-1.019243598,-0.000080639
0.020267073,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.759674072,-0.148272589,-1.019243598,-0.000080639
0.025334664,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.774000168,-0.148272589,-1.019243598,-0.000080639
0.030396833,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.774000168,-0.148272589,-1.019243598,-0.000080639
0.035457858,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.774000168,-0.148272589,-1.019243598,-0.000080639
0.040512990,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.774000168,-0.148272589,-1.019243598,-0.000080639
0.045574457,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.774000168,-0.148272589,-1.019243598,-0.000080639
0.050643584,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.774000168,-0.148272589,-1.019243598,-0.000080639
0.055735359,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.759674072,-0.148272589,-1.019243598,-0.000080639
0.060807891,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.759674072,-0.148272589,-1.019243598,-0.000080639
0.065871038,-0.000023010,-0.522544801,0.000013422,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.759674072,-0.148272589,-1.019243598,-0.000080639
0.070938839,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.759674072,-0.148272589,-1.019243598,-0.000080639
0.075998055,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.774000168,-0.148272589,-1.019243598,-0.000080639
